fpr,tpr,ppv,acc,npv,LR+,LR-,threshold
0.143,$0.734 \pm 0.051$,$0.049 \pm 0.003$,$0.855 \pm 0.000$,$0.996 \pm 0.000$,$5.150 \pm 0.372$,$0.309 \pm -0.05$,0.01745756407204637
0.144,$0.737 \pm 0.052$,$0.048 \pm 0.003$,$0.853 \pm -0.00$,$0.996 \pm 0.000$,$5.095 \pm 0.341$,$0.307 \pm -0.05$,0.01726950606674508
0.145,$0.738 \pm 0.051$,$0.048 \pm 0.003$,$0.852 \pm -0.00$,$0.996 \pm 0.000$,$5.076 \pm 0.345$,$0.306 \pm -0.05$,0.017197043130806756
0.146,$0.739 \pm 0.051$,$0.048 \pm 0.003$,$0.851 \pm -0.00$,$0.996 \pm 0.000$,$5.058 \pm 0.349$,$0.305 \pm -0.05$,0.017124580194868434
0.147,$0.740 \pm 0.050$,$0.048 \pm 0.003$,$0.850 \pm -0.00$,$0.996 \pm 0.000$,$5.039 \pm 0.349$,$0.304 \pm -0.05$,0.017052117258930116
0.148,$0.741 \pm 0.049$,$0.048 \pm 0.003$,$0.850 \pm -0.00$,$0.996 \pm 0.000$,$5.020 \pm 0.350$,$0.303 \pm -0.05$,0.016979654322991793
0.149,$0.742 \pm 0.049$,$0.048 \pm 0.003$,$0.849 \pm -0.00$,$0.996 \pm 0.000$,$5.002 \pm 0.355$,$0.302 \pm -0.05$,0.01690719138705347
0.15,$0.743 \pm 0.049$,$0.047 \pm 0.003$,$0.848 \pm -0.00$,$0.996 \pm 0.000$,$4.983 \pm 0.360$,$0.301 \pm -0.05$,0.01683472845111515
0.151,$0.744 \pm 0.049$,$0.047 \pm 0.003$,$0.847 \pm -0.00$,$0.996 \pm 0.000$,$4.964 \pm 0.364$,$0.300 \pm -0.05$,0.016762265515176827
0.152,$0.745 \pm 0.049$,$0.047 \pm 0.003$,$0.846 \pm -0.00$,$0.996 \pm 0.000$,$4.945 \pm 0.369$,$0.299 \pm -0.05$,0.016689802579238504
0.153,$0.746 \pm 0.049$,$0.047 \pm 0.003$,$0.845 \pm -9.40$,$0.996 \pm 0.000$,$4.927 \pm 0.373$,$0.298 \pm -0.05$,0.016617339643300182
0.154,$0.748 \pm 0.049$,$0.047 \pm 0.003$,$0.844 \pm -7.10$,$0.997 \pm 0.000$,$4.908 \pm 0.377$,$0.297 \pm -0.05$,0.01654487670736186
0.155,$0.749 \pm 0.049$,$0.047 \pm 0.003$,$0.843 \pm -4.79$,$0.997 \pm 0.000$,$4.889 \pm 0.380$,$0.296 \pm -0.05$,0.01647241377142354
0.156,$0.750 \pm 0.049$,$0.046 \pm 0.003$,$0.842 \pm -2.50$,$0.997 \pm 0.000$,$4.871 \pm 0.383$,$0.295 \pm -0.05$,0.01639995083548522
0.157,$0.751 \pm 0.048$,$0.046 \pm 0.003$,$0.841 \pm -2.13$,$0.997 \pm 0.000$,$4.852 \pm 0.386$,$0.294 \pm -0.05$,0.016327487899546897
0.158,$0.752 \pm 0.048$,$0.046 \pm 0.003$,$0.840 \pm 2.070$,$0.997 \pm 0.000$,$4.833 \pm 0.389$,$0.293 \pm -0.05$,0.016255024963608575
0.159,$0.753 \pm 0.048$,$0.046 \pm 0.003$,$0.839 \pm 4.347$,$0.997 \pm 0.000$,$4.814 \pm 0.391$,$0.292 \pm -0.05$,0.016182562027670253
0.16,$0.754 \pm 0.048$,$0.046 \pm 0.003$,$0.838 \pm 6.620$,$0.997 \pm 0.000$,$4.796 \pm 0.393$,$0.291 \pm -0.05$,0.01611009909173193
0.161,$0.755 \pm 0.048$,$0.046 \pm 0.003$,$0.837 \pm 8.886$,$0.997 \pm 0.000$,$4.777 \pm 0.395$,$0.290 \pm -0.05$,0.016037636155793608
0.162,$0.756 \pm 0.048$,$0.045 \pm 0.003$,$0.836 \pm 0.000$,$0.997 \pm 0.000$,$4.758 \pm 0.396$,$0.289 \pm -0.05$,0.015965173219855286
0.163,$0.757 \pm 0.048$,$0.045 \pm 0.003$,$0.835 \pm 0.000$,$0.997 \pm 0.000$,$4.740 \pm 0.397$,$0.288 \pm -0.05$,0.015892710283916967
0.164,$0.758 \pm 0.048$,$0.045 \pm 0.003$,$0.834 \pm 0.000$,$0.997 \pm 0.000$,$4.721 \pm 0.398$,$0.287 \pm -0.05$,0.015820247347978645
0.165,$0.759 \pm 0.048$,$0.045 \pm 0.003$,$0.833 \pm 0.000$,$0.997 \pm 0.000$,$4.702 \pm 0.399$,$0.286 \pm -0.05$,0.015747784412040323
0.166,$0.760 \pm 0.048$,$0.045 \pm 0.003$,$0.832 \pm 0.000$,$0.997 \pm 0.000$,$4.683 \pm 0.400$,$0.285 \pm -0.05$,0.015675321476102
0.167,$0.762 \pm 0.048$,$0.044 \pm 0.003$,$0.831 \pm 0.000$,$0.997 \pm 0.000$,$4.665 \pm 0.400$,$0.284 \pm -0.05$,0.015602858540163678
0.168,$0.763 \pm 0.048$,$0.044 \pm 0.003$,$0.830 \pm 0.000$,$0.997 \pm 0.000$,$4.646 \pm 0.400$,$0.283 \pm -0.05$,0.015530395604225356
0.169,$0.764 \pm 0.048$,$0.044 \pm 0.003$,$0.829 \pm 0.000$,$0.997 \pm 0.000$,$4.627 \pm 0.400$,$0.282 \pm -0.05$,0.015457932668287036
0.17,$0.765 \pm 0.048$,$0.044 \pm 0.003$,$0.828 \pm 0.000$,$0.997 \pm 0.000$,$4.609 \pm 0.400$,$0.281 \pm -0.05$,0.015385469732348713
0.171,$0.766 \pm 0.048$,$0.044 \pm 0.003$,$0.827 \pm 0.000$,$0.997 \pm 0.000$,$4.590 \pm 0.399$,$0.280 \pm -0.05$,0.015313006796410391
0.172,$0.767 \pm 0.047$,$0.044 \pm 0.003$,$0.826 \pm 0.000$,$0.997 \pm 0.000$,$4.571 \pm 0.398$,$0.279 \pm -0.05$,0.01524054386047207
0.173,$0.768 \pm 0.047$,$0.043 \pm 0.003$,$0.825 \pm 0.000$,$0.997 \pm 0.000$,$4.552 \pm 0.397$,$0.278 \pm -0.05$,0.015168080924533749
0.174,$0.769 \pm 0.047$,$0.043 \pm 0.003$,$0.824 \pm 0.000$,$0.997 \pm 0.000$,$4.534 \pm 0.396$,$0.277 \pm -0.05$,0.015095617988595426
0.175,$0.770 \pm 0.047$,$0.043 \pm 0.003$,$0.823 \pm 0.000$,$0.997 \pm 0.000$,$4.515 \pm 0.394$,$0.276 \pm -0.05$,0.015023155052657104
0.176,$0.771 \pm 0.047$,$0.043 \pm 0.003$,$0.822 \pm 0.000$,$0.997 \pm 0.000$,$4.496 \pm 0.393$,$0.275 \pm -0.05$,0.014950692116718782
0.177,$0.772 \pm 0.047$,$0.043 \pm 0.003$,$0.822 \pm 0.000$,$0.997 \pm 0.000$,$4.478 \pm 0.391$,$0.274 \pm -0.05$,0.014878229180780462
0.178,$0.773 \pm 0.047$,$0.043 \pm 0.003$,$0.821 \pm 0.000$,$0.997 \pm 0.000$,$4.459 \pm 0.389$,$0.273 \pm -0.05$,0.01480576624484214
0.179,$0.774 \pm 0.047$,$0.042 \pm 0.003$,$0.820 \pm 0.000$,$0.997 \pm 0.000$,$4.440 \pm 0.387$,$0.272 \pm -0.05$,0.014733303308903817
0.18,$0.776 \pm 0.047$,$0.042 \pm 0.003$,$0.819 \pm 0.000$,$0.997 \pm 0.000$,$4.421 \pm 0.384$,$0.271 \pm -0.05$,0.014660840372965497
0.181,$0.777 \pm 0.047$,$0.042 \pm 0.003$,$0.818 \pm 0.000$,$0.997 \pm 0.000$,$4.403 \pm 0.382$,$0.270 \pm -0.05$,0.014588377437027174
0.182,$0.778 \pm 0.047$,$0.042 \pm 0.003$,$0.817 \pm 0.000$,$0.997 \pm 0.000$,$4.384 \pm 0.379$,$0.269 \pm -0.05$,0.014515914501088852
0.183,$0.779 \pm 0.047$,$0.042 \pm 0.003$,$0.816 \pm 0.000$,$0.997 \pm 0.000$,$4.365 \pm 0.376$,$0.268 \pm -0.05$,0.01444345156515053
0.184,$0.780 \pm 0.047$,$0.042 \pm 0.003$,$0.815 \pm 0.000$,$0.997 \pm 0.000$,$4.347 \pm 0.370$,$0.267 \pm -0.05$,0.014370988629212208
0.185,$0.781 \pm 0.048$,$0.041 \pm 0.003$,$0.814 \pm -0.00$,$0.997 \pm 0.000$,$4.328 \pm 0.356$,$0.266 \pm -0.05$,0.014298525693273887
0.186,$0.782 \pm 0.048$,$0.041 \pm 0.003$,$0.813 \pm -0.00$,$0.997 \pm 0.000$,$4.309 \pm 0.351$,$0.266 \pm -0.05$,0.014226062757335565
0.187,$0.783 \pm 0.048$,$0.041 \pm 0.003$,$0.812 \pm -0.00$,$0.997 \pm 0.000$,$4.291 \pm 0.347$,$0.265 \pm -0.05$,0.014153599821397243
0.188,$0.784 \pm 0.047$,$0.041 \pm 0.003$,$0.811 \pm -0.00$,$0.997 \pm 0.000$,$4.272 \pm 0.343$,$0.264 \pm -0.05$,0.014081136885458923
0.189,$0.785 \pm 0.047$,$0.041 \pm 0.003$,$0.810 \pm -0.00$,$0.997 \pm 0.000$,$4.253 \pm 0.340$,$0.263 \pm -0.05$,0.0140086739495206
0.19,$0.786 \pm 0.047$,$0.040 \pm 0.003$,$0.809 \pm -0.00$,$0.997 \pm 0.000$,$4.234 \pm 0.336$,$0.262 \pm -0.05$,0.013936211013582278
0.191,$0.787 \pm 0.047$,$0.040 \pm 0.003$,$0.808 \pm -0.00$,$0.997 \pm 0.000$,$4.216 \pm 0.332$,$0.261 \pm -0.05$,0.013863748077643956
0.192,$0.788 \pm 0.047$,$0.040 \pm 0.003$,$0.807 \pm -0.00$,$0.997 \pm 0.000$,$4.197 \pm 0.327$,$0.260 \pm -0.05$,0.013791285141705635
0.193,$0.790 \pm 0.047$,$0.040 \pm 0.002$,$0.806 \pm -0.00$,$0.997 \pm 0.000$,$4.178 \pm 0.323$,$0.259 \pm -0.05$,0.013718822205767313
0.194,$0.791 \pm 0.047$,$0.040 \pm 0.002$,$0.805 \pm -0.00$,$0.997 \pm 0.000$,$4.160 \pm 0.318$,$0.258 \pm -0.05$,0.013646359269828991
0.195,$0.792 \pm 0.047$,$0.040 \pm 0.002$,$0.804 \pm -0.00$,$0.997 \pm 0.000$,$4.141 \pm 0.313$,$0.257 \pm -0.05$,0.01357389633389067
0.196,$0.793 \pm 0.047$,$0.039 \pm 0.002$,$0.803 \pm -0.00$,$0.997 \pm 0.000$,$4.122 \pm 0.309$,$0.256 \pm -0.05$,0.013501433397952348
0.197,$0.794 \pm 0.047$,$0.039 \pm 0.002$,$0.802 \pm -0.00$,$0.997 \pm 0.000$,$4.103 \pm 0.304$,$0.255 \pm -0.05$,0.013428970462014026
0.198,$0.795 \pm 0.047$,$0.039 \pm 0.002$,$0.801 \pm -9.61$,$0.997 \pm 0.000$,$4.085 \pm 0.298$,$0.254 \pm -0.05$,0.013356507526075704
0.199,$0.796 \pm 0.047$,$0.039 \pm 0.002$,$0.800 \pm -7.54$,$0.997 \pm 0.000$,$4.066 \pm 0.293$,$0.253 \pm -0.05$,0.013284044590137382
0.2,$0.797 \pm 0.047$,$0.039 \pm 0.002$,$0.799 \pm -5.46$,$0.997 \pm 0.000$,$4.047 \pm 0.288$,$0.252 \pm -0.05$,0.01321158165419906
0.201,$0.798 \pm 0.046$,$0.039 \pm 0.002$,$0.798 \pm -3.39$,$0.997 \pm 0.000$,$4.029 \pm 0.282$,$0.251 \pm -0.05$,0.013139118718260739
0.202,$0.799 \pm 0.046$,$0.038 \pm 0.002$,$0.797 \pm -1.33$,$0.997 \pm 0.000$,$4.010 \pm 0.276$,$0.250 \pm -0.05$,0.013066655782322417
0.203,$0.800 \pm 0.046$,$0.038 \pm 0.002$,$0.796 \pm 7.226$,$0.997 \pm 0.000$,$3.991 \pm 0.270$,$0.249 \pm -0.05$,0.012994192846384096
0.204,$0.801 \pm 0.046$,$0.038 \pm 0.002$,$0.795 \pm 2.777$,$0.997 \pm 0.000$,$3.972 \pm 0.264$,$0.248 \pm -0.05$,0.012921729910445774
0.205,$0.802 \pm 0.046$,$0.038 \pm 0.002$,$0.794 \pm 4.826$,$0.997 \pm 0.000$,$3.954 \pm 0.258$,$0.247 \pm -0.05$,0.012849266974507452
0.206,$0.804 \pm 0.046$,$0.038 \pm 0.002$,$0.794 \pm 6.872$,$0.997 \pm 0.000$,$3.935 \pm 0.252$,$0.246 \pm -0.05$,0.01277680403856913
0.207,$0.805 \pm 0.046$,$0.038 \pm 0.002$,$0.793 \pm 8.913$,$0.997 \pm 0.000$,$3.916 \pm 0.246$,$0.245 \pm -0.05$,0.012704341102630808
0.208,$0.806 \pm 0.046$,$0.037 \pm 0.002$,$0.792 \pm 0.000$,$0.997 \pm 0.000$,$3.898 \pm 0.239$,$0.244 \pm -0.05$,0.012631878166692487
0.209,$0.807 \pm 0.046$,$0.037 \pm 0.002$,$0.791 \pm 0.000$,$0.997 \pm 0.000$,$3.879 \pm 0.233$,$0.243 \pm -0.05$,0.012559415230754165
0.21,$0.808 \pm 0.046$,$0.037 \pm 0.002$,$0.790 \pm 0.000$,$0.997 \pm 0.000$,$3.860 \pm 0.226$,$0.242 \pm -0.05$,0.012486952294815844
0.211,$0.809 \pm 0.046$,$0.037 \pm 0.002$,$0.789 \pm 0.000$,$0.997 \pm 0.000$,$3.841 \pm 0.219$,$0.241 \pm -0.05$,0.012414489358877522
0.212,$0.811 \pm 0.046$,$0.037 \pm 0.001$,$0.787 \pm -0.00$,$0.997 \pm 0.000$,$3.811 \pm 0.200$,$0.239 \pm -0.05$,0.012294188346093925
0.213,$0.812 \pm 0.046$,$0.036 \pm 0.001$,$0.786 \pm -0.00$,$0.997 \pm 0.000$,$3.800 \pm 0.201$,$0.238 \pm -0.05$,0.012246350269248652
0.214,$0.813 \pm 0.046$,$0.036 \pm 0.001$,$0.785 \pm -0.00$,$0.997 \pm 0.000$,$3.788 \pm 0.201$,$0.237 \pm -0.05$,0.012198512192403378
0.215,$0.814 \pm 0.046$,$0.036 \pm 0.001$,$0.784 \pm -0.00$,$0.997 \pm 0.000$,$3.777 \pm 0.201$,$0.237 \pm -0.05$,0.012150674115558105
0.216,$0.814 \pm 0.045$,$0.036 \pm 0.001$,$0.783 \pm -0.00$,$0.997 \pm 0.000$,$3.765 \pm 0.198$,$0.236 \pm -0.05$,0.01210283603871283
0.217,$0.815 \pm 0.044$,$0.036 \pm 0.001$,$0.782 \pm -0.00$,$0.997 \pm 0.000$,$3.754 \pm 0.196$,$0.235 \pm -0.05$,0.012054997961867557
0.218,$0.816 \pm 0.044$,$0.036 \pm 0.001$,$0.781 \pm -0.00$,$0.997 \pm 0.000$,$3.743 \pm 0.197$,$0.234 \pm -0.05$,0.012007159885022283
0.219,$0.817 \pm 0.044$,$0.036 \pm 0.001$,$0.780 \pm -0.00$,$0.997 \pm 0.000$,$3.731 \pm 0.197$,$0.233 \pm -0.05$,0.011959321808177008
0.22,$0.818 \pm 0.044$,$0.036 \pm 0.001$,$0.780 \pm -0.00$,$0.997 \pm 0.000$,$3.720 \pm 0.198$,$0.232 \pm -0.05$,0.011911483731331735
0.221,$0.819 \pm 0.044$,$0.036 \pm 0.001$,$0.779 \pm -7.36$,$0.997 \pm 0.000$,$3.708 \pm 0.198$,$0.231 \pm -0.05$,0.01186364565448646
0.222,$0.820 \pm 0.044$,$0.035 \pm 0.001$,$0.778 \pm 3.609$,$0.997 \pm 0.000$,$3.697 \pm 0.198$,$0.230 \pm -0.05$,0.011815807577641188
0.223,$0.821 \pm 0.044$,$0.035 \pm 0.001$,$0.777 \pm 7.434$,$0.997 \pm 0.000$,$3.685 \pm 0.198$,$0.230 \pm -0.05$,0.011767969500795913
0.224,$0.822 \pm 0.044$,$0.035 \pm 0.001$,$0.776 \pm 0.000$,$0.997 \pm 0.000$,$3.674 \pm 0.198$,$0.229 \pm -0.05$,0.01172013142395064
0.225,$0.822 \pm 0.044$,$0.035 \pm 0.001$,$0.775 \pm 0.000$,$0.997 \pm 0.000$,$3.662 \pm 0.198$,$0.228 \pm -0.05$,0.011672293347105366
0.226,$0.823 \pm 0.043$,$0.035 \pm 0.001$,$0.774 \pm 0.000$,$0.997 \pm 0.000$,$3.651 \pm 0.198$,$0.227 \pm -0.05$,0.011624455270260091
0.227,$0.824 \pm 0.043$,$0.035 \pm 0.001$,$0.773 \pm 0.000$,$0.997 \pm 0.000$,$3.639 \pm 0.197$,$0.226 \pm -0.05$,0.011576617193414818
0.228,$0.825 \pm 0.043$,$0.035 \pm 0.001$,$0.772 \pm 0.000$,$0.997 \pm 0.000$,$3.628 \pm 0.197$,$0.225 \pm -0.05$,0.011528779116569543
0.229,$0.826 \pm 0.043$,$0.035 \pm 0.001$,$0.771 \pm 0.000$,$0.997 \pm 0.000$,$3.616 \pm 0.196$,$0.224 \pm -0.05$,0.01148094103972427
0.23,$0.827 \pm 0.043$,$0.035 \pm 0.001$,$0.770 \pm 0.000$,$0.997 \pm 0.000$,$3.605 \pm 0.195$,$0.224 \pm -0.05$,0.011433102962878996
0.231,$0.828 \pm 0.043$,$0.035 \pm 0.001$,$0.769 \pm 0.000$,$0.997 \pm 0.000$,$3.594 \pm 0.195$,$0.223 \pm -0.05$,0.011385264886033723
0.232,$0.829 \pm 0.043$,$0.034 \pm 0.001$,$0.769 \pm 0.000$,$0.997 \pm 0.000$,$3.582 \pm 0.194$,$0.222 \pm -0.05$,0.011337426809188448
0.233,$0.830 \pm 0.043$,$0.034 \pm 0.001$,$0.768 \pm 0.000$,$0.997 \pm 0.000$,$3.571 \pm 0.193$,$0.221 \pm -0.05$,0.011289588732343175
0.234,$0.831 \pm 0.044$,$0.034 \pm 0.001$,$0.766 \pm -8.50$,$0.997 \pm 0.000$,$3.550 \pm 0.183$,$0.219 \pm -0.05$,0.011200712990505925
0.235,$0.832 \pm 0.043$,$0.034 \pm 0.001$,$0.765 \pm -6.87$,$0.997 \pm 0.000$,$3.541 \pm 0.184$,$0.219 \pm -0.05$,0.011159540856797049
0.236,$0.833 \pm 0.043$,$0.034 \pm 0.001$,$0.764 \pm -5.24$,$0.997 \pm 0.000$,$3.531 \pm 0.185$,$0.218 \pm -0.05$,0.011118368723088174
0.237,$0.833 \pm 0.043$,$0.034 \pm 0.001$,$0.763 \pm -3.62$,$0.997 \pm 0.000$,$3.522 \pm 0.185$,$0.217 \pm -0.05$,0.011077196589379298
0.238,$0.834 \pm 0.042$,$0.034 \pm 0.001$,$0.762 \pm -2.39$,$0.997 \pm 0.000$,$3.513 \pm 0.185$,$0.217 \pm -0.05$,0.011036024455670423
0.239,$0.835 \pm 0.042$,$0.034 \pm 0.001$,$0.761 \pm -1.07$,$0.997 \pm 0.000$,$3.504 \pm 0.184$,$0.216 \pm -0.05$,0.010994852321961547
0.24,$0.835 \pm 0.042$,$0.034 \pm 0.001$,$0.760 \pm 7.194$,$0.997 \pm 0.000$,$3.494 \pm 0.185$,$0.215 \pm -0.05$,0.010953680188252672
0.241,$0.836 \pm 0.042$,$0.034 \pm 0.001$,$0.759 \pm 2.512$,$0.997 \pm 0.000$,$3.485 \pm 0.187$,$0.214 \pm -0.05$,0.010912508054543798
0.242,$0.837 \pm 0.041$,$0.033 \pm 0.001$,$0.758 \pm 4.302$,$0.997 \pm 0.000$,$3.476 \pm 0.188$,$0.214 \pm -0.05$,0.010871335920834922
0.243,$0.838 \pm 0.041$,$0.033 \pm 0.001$,$0.757 \pm 6.087$,$0.997 \pm 0.000$,$3.466 \pm 0.189$,$0.213 \pm -0.05$,0.010830163787126047
0.244,$0.838 \pm 0.041$,$0.033 \pm 0.001$,$0.756 \pm 7.870$,$0.997 \pm 0.000$,$3.457 \pm 0.190$,$0.212 \pm -0.05$,0.01078899165341717
0.245,$0.839 \pm 0.041$,$0.033 \pm 0.001$,$0.755 \pm 9.648$,$0.997 \pm 0.000$,$3.448 \pm 0.191$,$0.211 \pm -0.05$,0.010747819519708296
0.246,$0.840 \pm 0.041$,$0.033 \pm 0.001$,$0.754 \pm 0.000$,$0.997 \pm 0.000$,$3.439 \pm 0.192$,$0.211 \pm -0.05$,0.01070664738599942
0.247,$0.840 \pm 0.041$,$0.033 \pm 0.001$,$0.753 \pm 0.000$,$0.997 \pm 0.000$,$3.429 \pm 0.193$,$0.210 \pm -0.05$,0.010665475252290545
0.248,$0.841 \pm 0.041$,$0.033 \pm 0.001$,$0.752 \pm 0.000$,$0.997 \pm 0.000$,$3.420 \pm 0.193$,$0.209 \pm -0.05$,0.01062430311858167
0.249,$0.842 \pm 0.041$,$0.033 \pm 0.001$,$0.751 \pm 0.000$,$0.997 \pm 0.000$,$3.411 \pm 0.194$,$0.209 \pm -0.05$,0.010583130984872794
0.25,$0.843 \pm 0.041$,$0.033 \pm 0.001$,$0.750 \pm 0.000$,$0.997 \pm 0.000$,$3.402 \pm 0.194$,$0.208 \pm -0.05$,0.01054195885116392
0.251,$0.843 \pm 0.041$,$0.033 \pm 0.001$,$0.749 \pm 0.000$,$0.997 \pm 0.000$,$3.392 \pm 0.195$,$0.207 \pm -0.05$,0.010500786717455043
0.252,$0.844 \pm 0.041$,$0.033 \pm 0.001$,$0.748 \pm 0.000$,$0.997 \pm 0.000$,$3.383 \pm 0.195$,$0.206 \pm -0.05$,0.010459614583746168
0.253,$0.845 \pm 0.041$,$0.032 \pm 0.001$,$0.747 \pm 0.000$,$0.997 \pm 0.000$,$3.374 \pm 0.195$,$0.206 \pm -0.05$,0.010418442450037292
0.254,$0.845 \pm 0.041$,$0.032 \pm 0.001$,$0.746 \pm 0.000$,$0.997 \pm 0.000$,$3.364 \pm 0.196$,$0.205 \pm -0.05$,0.010377270316328418
0.255,$0.846 \pm 0.041$,$0.032 \pm 0.001$,$0.745 \pm 0.000$,$0.997 \pm 0.000$,$3.355 \pm 0.196$,$0.204 \pm -0.05$,0.010336098182619541
0.256,$0.847 \pm 0.040$,$0.032 \pm 0.001$,$0.744 \pm 0.000$,$0.997 \pm 0.000$,$3.346 \pm 0.196$,$0.204 \pm -0.05$,0.010294926048910667
0.257,$0.848 \pm 0.040$,$0.032 \pm 0.001$,$0.743 \pm 0.000$,$0.997 \pm 0.000$,$3.337 \pm 0.196$,$0.203 \pm -0.05$,0.010253753915201792
0.258,$0.848 \pm 0.040$,$0.032 \pm 0.001$,$0.742 \pm 0.000$,$0.997 \pm 0.000$,$3.327 \pm 0.196$,$0.202 \pm -0.05$,0.010212581781492916
0.259,$0.849 \pm 0.040$,$0.032 \pm 0.001$,$0.741 \pm 0.000$,$0.997 \pm 0.000$,$3.318 \pm 0.196$,$0.201 \pm -0.05$,0.010171409647784041
0.26,$0.850 \pm 0.040$,$0.032 \pm 0.001$,$0.741 \pm 0.000$,$0.997 \pm 0.000$,$3.309 \pm 0.195$,$0.201 \pm -0.05$,0.010130237514075165
0.261,$0.851 \pm 0.040$,$0.032 \pm 0.001$,$0.740 \pm 0.000$,$0.997 \pm 0.000$,$3.299 \pm 0.195$,$0.200 \pm -0.05$,0.01008906538036629
0.262,$0.851 \pm 0.040$,$0.032 \pm 0.001$,$0.739 \pm 0.000$,$0.997 \pm 0.000$,$3.290 \pm 0.195$,$0.199 \pm -0.05$,0.010047893246657414
0.263,$0.852 \pm 0.040$,$0.032 \pm 0.001$,$0.738 \pm 0.000$,$0.997 \pm 0.000$,$3.281 \pm 0.194$,$0.199 \pm -0.05$,0.010006721112948539
0.264,$0.853 \pm 0.040$,$0.031 \pm 0.001$,$0.737 \pm 0.000$,$0.998 \pm 0.000$,$3.272 \pm 0.194$,$0.198 \pm -0.05$,0.009965548979239663
0.265,$0.853 \pm 0.040$,$0.031 \pm 0.001$,$0.736 \pm 0.000$,$0.998 \pm 0.000$,$3.262 \pm 0.193$,$0.197 \pm -0.05$,0.009924376845530788
0.266,$0.854 \pm 0.040$,$0.031 \pm 0.001$,$0.735 \pm 0.000$,$0.998 \pm 0.000$,$3.253 \pm 0.192$,$0.196 \pm -0.05$,0.009883204711821914
0.267,$0.855 \pm 0.040$,$0.031 \pm 0.001$,$0.734 \pm 0.000$,$0.998 \pm 0.000$,$3.244 \pm 0.192$,$0.196 \pm -0.05$,0.009842032578113037
0.268,$0.856 \pm 0.040$,$0.031 \pm 0.001$,$0.733 \pm 0.000$,$0.998 \pm 0.000$,$3.235 \pm 0.191$,$0.195 \pm -0.05$,0.009800860444404163
0.269,$0.856 \pm 0.040$,$0.031 \pm 0.001$,$0.732 \pm 0.000$,$0.998 \pm 0.000$,$3.225 \pm 0.190$,$0.194 \pm -0.05$,0.009759688310695286
0.27,$0.857 \pm 0.039$,$0.031 \pm 0.001$,$0.731 \pm 0.000$,$0.998 \pm 0.000$,$3.216 \pm 0.189$,$0.194 \pm -0.05$,0.009718516176986412
0.271,$0.858 \pm 0.039$,$0.031 \pm 0.001$,$0.730 \pm 0.000$,$0.998 \pm 0.000$,$3.207 \pm 0.188$,$0.193 \pm -0.05$,0.009677344043277535
0.272,$0.858 \pm 0.039$,$0.031 \pm 0.001$,$0.729 \pm 0.000$,$0.998 \pm 0.000$,$3.197 \pm 0.187$,$0.192 \pm -0.05$,0.00963617190956866
0.273,$0.859 \pm 0.039$,$0.031 \pm 0.001$,$0.728 \pm 0.000$,$0.998 \pm 0.000$,$3.188 \pm 0.186$,$0.191 \pm -0.05$,0.009594999775859786
0.274,$0.860 \pm 0.039$,$0.031 \pm 0.001$,$0.727 \pm 0.000$,$0.998 \pm 0.000$,$3.179 \pm 0.185$,$0.191 \pm -0.05$,0.00955382764215091
0.275,$0.861 \pm 0.039$,$0.031 \pm 0.001$,$0.726 \pm 0.000$,$0.998 \pm 0.000$,$3.170 \pm 0.184$,$0.190 \pm -0.05$,0.009512655508442035
0.276,$0.861 \pm 0.039$,$0.030 \pm 0.001$,$0.725 \pm 0.000$,$0.998 \pm 0.000$,$3.160 \pm 0.182$,$0.189 \pm -0.05$,0.009471483374733159
0.277,$0.862 \pm 0.039$,$0.030 \pm 0.001$,$0.724 \pm 0.000$,$0.998 \pm 0.000$,$3.151 \pm 0.181$,$0.189 \pm -0.05$,0.009430311241024284
0.278,$0.863 \pm 0.039$,$0.030 \pm 0.001$,$0.723 \pm 0.000$,$0.998 \pm 0.000$,$3.142 \pm 0.180$,$0.188 \pm -0.05$,0.009389139107315408
0.279,$0.863 \pm 0.039$,$0.030 \pm 0.001$,$0.722 \pm 0.000$,$0.998 \pm 0.000$,$3.132 \pm 0.178$,$0.187 \pm -0.05$,0.009347966973606533
0.28,$0.864 \pm 0.039$,$0.030 \pm 0.001$,$0.721 \pm 0.000$,$0.998 \pm 0.000$,$3.123 \pm 0.177$,$0.186 \pm -0.05$,0.009306794839897659
0.281,$0.865 \pm 0.039$,$0.030 \pm 0.001$,$0.720 \pm 0.000$,$0.998 \pm 0.000$,$3.114 \pm 0.175$,$0.186 \pm -0.05$,0.009265622706188782
0.282,$0.866 \pm 0.039$,$0.030 \pm 0.001$,$0.719 \pm 0.000$,$0.998 \pm 0.000$,$3.105 \pm 0.173$,$0.185 \pm -0.05$,0.009224450572479908
0.283,$0.866 \pm 0.038$,$0.030 \pm 0.001$,$0.718 \pm 0.000$,$0.998 \pm 0.000$,$3.095 \pm 0.172$,$0.184 \pm -0.05$,0.009183278438771031
0.284,$0.867 \pm 0.038$,$0.030 \pm 0.001$,$0.717 \pm 0.000$,$0.998 \pm 0.000$,$3.086 \pm 0.170$,$0.184 \pm -0.05$,0.009142106305062157
0.285,$0.868 \pm 0.038$,$0.030 \pm 0.001$,$0.716 \pm 0.000$,$0.998 \pm 0.000$,$3.077 \pm 0.168$,$0.183 \pm -0.05$,0.00910093417135328
0.286,$0.868 \pm 0.038$,$0.030 \pm 0.001$,$0.715 \pm 0.000$,$0.998 \pm 0.000$,$3.068 \pm 0.166$,$0.182 \pm -0.05$,0.009059762037644406
